PROJECT_NAME,TYPE_OF_UNIT,COST,PROJECT_STATUS,CONTRACT_TYPE,COMPLETION_DATE,LOCATION,STATE,EVENT_DATE_1,EVENT_1,DATE_OF_COST_OF_PROJECT,Cost_Event1,Cost_Event,Cost_Overrun,CostOverrun,EVENT_DATE_2,EVENT_2,EVENT_DATE_ORIG,MonthDifference,NoOfDays,EVENT_DATE_3
"Gundla Pochampalli to Bowenpalli, Shivarampalli to Thondapalli Highway Project",New Unit,990,Completed,"Engineering, Procurement & Construction",June 2015,Bowenpalli,Telangana,15 Mar 2000,Date of announcement,2008-07-31,990,990,0,N,2015-06-30,Completed,2005-01-31,Y,3802,2001-03-15
Kalamassery-Vallarpadam (NH-47C) Four laning Highway Project,Substantial Expansion,11270,Completed,"Engineering, Procurement & Construction",July 2015,Kalamassery,Kerala,31 Mar 2005,Date of announcement,2014-10-30,11270,3294,7976,Y,2015-07-31,Completed,2009-11-30,Y,2069,2007-05-31
Lucknow-Kanpur Section (EW/3B) NH-25 Project,New Unit,540,Completed,"Engineering, Procurement & Construction",September 2015,Kanpur,Uttar Pradesh,31 Mar 2001,Expenses incurred upto,2002-01-01,540,510,30,Y,2015-09-30,Initial completion date,2001-12-31,Y,5021,2003-12-01
Jhalawar-MP/Rajasthan Border Section Two Laning Road Project,New Unit,1818.9,Completed,Design Build Finance Operate Transfer,September 2015,Jhalawar,Rajasthan,28 Feb 2011,Date of announcement,2012-09-10,1818.9,1773.2,45.7,Y,2016-01-31,Initial completion date,2015-09-09,Y,144,2013-04-30
Dholpur-Morena Section (including chambal bridge) Project,New Unit,3180,Completed,"Engineering, Procurement & Construction",June 2016,Dholpur,Rajasthan,31 Dec 2003,Date of announcement,2014-08-31,3180,2324.5,855.5,Y,2016-06-30,Completed,2011-03-31,Y,1918,2007-06-01
Ganga Bridge to Rama Devi Crossing (Jajmau-Ramadevi) NH-25 Section Highway Project,New Unit,2016.6,Completed,"Engineering, Procurement & Construction",June 2016,Jajmau,Uttar Pradesh,31 Dec 2003,Date of announcement,2009-10-01,2016.6,1590,426.6,Y,2016-06-30,Completed,2010-12-31,Y,2008,2005-05-31
Lambia-Jaitran-Raipur (NH-458) Two Lane Highway Project,New Unit,1584,Completed,"Engineering, Procurement & Construction",May 2016,Jaitran,Rajasthan,01 Sep 2012,Date of announcement,2012-09-01,1584,1584,0,N,2016-07-31,Initial completion date,2015-12-31,Y,213,2013-04-30
Agra Bypass (NS-1/UP-1) Four-Laning Highway Project,Substantial Expansion,4655,Completed,"Engineering, Procurement & Construction",December 2016,Agra,Uttar Pradesh,01 Dec 2003,Date of announcement,2008-03-01,4655,3481.6,1173.4,Y,2016-12-31,Completed,2010-09-30,Y,2284,2007-06-01
Ladnu (Nimbi Jodha)-Degana-Merta City (NH-458) Two Lane Highway Project,New Unit,5520.9,Completed,"Engineering, Procurement & Construction",February 2017,Degana,Rajasthan,10 Sep 2012,Date of announcement,2013-04-18,5520.9,3681.5,1839.4,Y,2017-02-28,Completed,2016-01-31,Y,394,2013-07-31
Dabwali Railway Over Bridge Project or Bhatinda-Suratgarh (ROB) Project,New Unit,650,Completed,"Engineering, Procurement & Construction",March 2017,Dabwali,Haryana,20 Nov 2008,Date of announcement,2013-09-23,650,625,25,Y,2017-03-31,Completed,2015-07-31,Y,609,2013-11-30
Jodhpur-Barmer (NH-112) Two/Four Lane Highway Project (Bagundi-Barmer Pkg-II),New Unit,2061.2,Completed,"Engineering, Procurement & Construction",February 2017,Barmer,Rajasthan,01 Feb 2014,Date of announcement,2016-05-31,2061.2,2061.2,0,N,2017-04-30,Initial completion date,2017-02-28,Y,61,2014-04-11
Chambal Bridge (RJ-5) Project,New Unit,2813.1,Completed,"Engineering, Procurement & Construction",August 2017,Chambal,Rajasthan,31 Dec 2003,Date of announcement,2003-12-31,2813.1,2813.1,0,N,2017-08-29,Completed,2010-02-28,Y,2739,2006-06-01
Jodhpur-Barmer (NH-112) Two/Four Lane Highway Project (Jodhpur-Pachpadra Pkg-I),Substantial Expansion,2124,Completed,"Engineering, Procurement & Construction",August 2017,Barmer,Rajasthan,01 Jan 2014,Date of announcement,2014-03-27,2124,2647.2,-523.2,N,2017-08-29,Completed,2017-04-30,Y,121,2014-04-11
Thanjavur-Pudukottai (NH-226) Two-Laning Highway Project,New Unit,2832.7,Completed,"Engineering, Procurement & Construction",October 2017,Manumadurai,Tamil Nadu,28 Oct 2009,Date of announcement,2016-07-31,2832.7,1615.1,1217.6,Y,2017-10-31,Completed,2016-11-30,Y,335,2014-09-12
Thirumayam-Manamadurai (NH-226) Two Laning Highway Project,New Unit,4011.1,Completed,"Engineering, Procurement & Construction",October 2017,Manamadurai,Tamil Nadu,01 Jan 2014,Date of announcement,2014-04-30,4011.1,2525.3,1485.8,Y,2017-10-31,Completed,2017-01-31,Y,273,2014-04-30
Karauli-Dholpur (NH-11B) Two Laning Highway Project,New Unit,4251.9,Completed,"Engineering, Procurement & Construction",November 2017,Dholpur,Rajasthan,15 Jul 2010,Date of announcement,2014-02-28,4251.9,3364.3,887.6,Y,2017-11-30,Completed,2016-09-30,Y,426,2014-02-15
Chas-Bokaro-Gola-Ramgarh (NH-23) Two/Four Laning Road Project,New Unit,3416.1,Completed,"Engineering, Procurement & Construction",February 2018,Bokaro,Jharkhand,22 Nov 2010,Date of announcement,2014-12-31,3416.1,2652.9,763.2,Y,2018-02-28,Completed,2017-09-30,Y,151,2014-12-31
Hero Honda Chowk Eight Lane Flyover & Underpass Project,New Unit,1980,Completed,"Engineering, Procurement & Construction",May 2018,Hero honda chowk,Haryana,02 Mar 2009,Date of announcement,2017-07-24,1980,1000,980,Y,2018-05-27,Completed,2017-05-31,Y,361,2014-11-26
Hisar-Dabwali (NH-10) Four Lane Highway Project (Package-II),New Unit,6480,Completed,"Engineering, Procurement & Construction",March 2018,Dabwali,Haryana,01 Apr 2012,Date of announcement,2017-10-31,6480,7016.2,-536.2,N,2018-05-31,Initial completion date,2018-03-05,Y,87,2015-03-03
Hisar-Dabwali (NH-10) Four Lane Highway Project (Package-I),Substantial Expansion,5797.6,Completed,"Engineering, Procurement & Construction",May 2018,Dabwali,Haryana,01 Apr 2012,Date of announcement,2014-12-16,5797.6,5745.9,51.7,Y,2018-05-31,Completed,2018-02-28,Y,92,2015-03-03
Ludhiana-Talwandi Bhai (NH-95) Four Laning Highway Project (Package-II),Substantial Expansion,562,Completed,"Engineering, Procurement & Construction",May 2018,Ludhiana,Punjab,01 Feb 2014,Date of announcement,2018-02-28,562,390.2,171.8,Y,2018-05-31,Completed,2016-07-16,Y,684,2014-11-30
UP/Haryana Border-Panchkula (NH-73) Four-Laning Highway Project (Package-II),Substantial Expansion,5623.4,Completed,"Engineering, Procurement & Construction",June 2018,Barwala,Haryana,30 Apr 2009,Date of announcement,2015-05-19,5623.4,3377,2246.4,Y,2018-06-10,Completed,2014-09-30,Y,1349,2012-03-26
Visakhapatnam Port-NH-5/NH-16 Balance Connectivity Four Lane Road Project,Substantial Expansion,1003.3,Completed,"Engineering, Procurement & Construction",July 2018,Vishakhapatanam,Andhra Pradesh,30 Sep 2015,Date of announcement,2016-01-18,1003.3,829.3,174,Y,2018-07-13,Completed,2017-09-30,Y,286,2016-01-18
UP/Haryana Border-Panchkula (NH-73) Four-Laning Highway Project (Package-I),Substantial Expansion,6008.5,Completed,"Engineering, Procurement & Construction",July 2018,Barwala,Haryana,30 Apr 2009,Date of announcement,2015-05-19,6008.5,3890,2118.5,Y,2018-07-15,Completed,2014-09-30,Y,1384,2012-03-26
4 Laning of four stretches of Lakhnadon-Seoni (Chapara) ( leftout Stretches ) of NH-7 Project,Substantial Expansion,586,Completed,"Engineering, Procurement & Construction",July 2018,Lakhnadon,Madhya Pradesh,01 Jan 2014,Date of announcement,2018-07-23,586,786.6,-200.6,N,2018-07-23,Completed,2017-10-30,Y,266,2016-08-31
Jalandhar-Amritsar (NH-1) Six Lane Highway Project (Bidhipur-Dhilwan),Substantial Expansion,3440,Completed,"Engineering, Procurement & Construction",July 2018,Amritsar,Punjab,27 Aug 2012,Date of announcement,2017-10-31,3440,4928.8,-1488.8,N,2018-07-25,Completed,2016-01-30,Y,907,2013-11-15
Baghpat-Ghaziabad Six Lane Expressway Project (Package 2 of Eastern Peripheral Expressway),New Unit,7857.8,Completed,"Engineering, Procurement & Construction",May 2018,Baghpat,Uttar Pradesh,31 Jan 1995,Date of announcement,2014-10-29,7857.8,7857.8,0,N,2018-07-31,Initial completion date,2009-07-30,Y,3288,2015-08-30
Faridabad-Palwal Six Lane Expressway Project (Package 6 of Eastern Peripheral Expressway),New Unit,7685.6,Completed,"Engineering, Procurement & Construction",May 2018,Faridabad,Haryana,31 Jan 1995,Date of announcement,2014-10-29,7685.6,7685.6,0,N,2018-07-31,Initial completion date,2009-07-30,Y,3288,2015-08-14
GB Nagar Six Lane Expressway Project (Package 4 of Eastern Peripheral Expressway),New Unit,7893.1,Completed,"Engineering, Procurement & Construction",May 2018,Gb nagar,Uttar Pradesh,31 Jan 1995,Date of announcement,2014-10-29,7893.1,7893.1,0,N,2018-07-31,Initial completion date,2009-07-30,Y,3288,2015-08-13
GB Nagar-Faridabad Six Lane Expressway Project (Package 5 of Eastern Peripheral Expressway),New Unit,6645.3,Completed,"Engineering, Procurement & Construction",May 2018,Faridabad,Haryana,31 Jan 1995,Date of announcement,2014-10-29,6645.3,6645.3,0,N,2018-07-31,Initial completion date,2009-07-30,Y,3288,2015-08-30
Ghaziabad-GB Nagar Six Lane Expressway Project (Package 3 of Eastern Peripheral Expressway),New Unit,7885.1,Completed,"Engineering, Procurement & Construction",May 2018,Gb nagar,Uttar Pradesh,31 Jan 1995,Date of announcement,2014-10-29,7885.1,7885.1,0,N,2018-07-31,Initial completion date,2009-07-31,Y,3287,2015-08-30
Sonepat-Baghpat Six Lane Expressway Project (Package 1 of Eastern Peripheral Expressway),New Unit,7920,Completed,"Engineering, Procurement & Construction",May 2018,Baghpat,Uttar Pradesh,31 Jan 1995,Date of announcement,2017-04-30,7920,7711.8,208.2,Y,2018-07-31,Initial completion date,2009-07-30,Y,3288,2015-08-30
Bhilwara-Ladpura (NH-758) Two Lane Road Project,Substantial Expansion,3530,Completed,"Engineering, Procurement & Construction",August 2018,Bhilwara,Rajasthan,10 Sep 2012,Date of announcement,2017-10-31,3530,2400,1130,Y,2018-08-31,Completed,2016-03-31,Y,883,2013-09-30
Halvad Cross Road (NH-8A) Flyover Project with approaches (on Bamanbore-Garamore section),New Unit,220,Completed,"Engineering, Procurement & Construction",June 2018,Halvad cross raod,Gujarat,30 Oct 2016,Date of announcement,2017-10-31,220,246.2,-26.2,N,2018-08-31,Initial completion date,2018-06-27,Y,65,2016-12-28
Sargaon-Bilaspur (NH-130) Four Laning Highway (Package-III of Raipur-Bilaspur) Project,Substantial Expansion,5350,Completed,"Engineering, Procurement & Construction",September 2018,Bilaspur,Chhattisgarh,14 Oct 2009,Date of announcement,2017-10-31,5350,4131.8,1218.2,Y,2018-09-22,Completed,2018-04-30,Y,145,2012-01-30
Jowai-Meghalaya/Assam Border (Ratacherra) (NH-6) Two Lane Highway Project,Substantial Expansion,6830,Completed,"Engineering, Procurement & Construction",September 2018,Jowai,Meghalaya,27 Apr 2010,Date of announcement,2018-09-21,6830,4421,2409,Y,2018-09-24,Completed,2018-02-28,Y,208,2012-03-31
Jaisalmer-Barmer (NH-15) Two/Four Laning Highway Project,New Unit,4822.7,Completed,"Engineering, Procurement & Construction",September 2018,Barmer,Rajasthan,01 Feb 2014,Date of announcement,2014-04-30,4822.7,3712.2,1110.5,Y,2018-09-30,Completed,2017-11-30,Y,304,2014-04-11
Kharar-Kurali (NH-21) Four Lane Highway Project,New Unit,4570,Completed,"Engineering, Procurement & Construction",October 2018,Kharar,Punjab,01 Mar 2014,Date of announcement,2016-09-14,4570,2273,2297,Y,2018-10-24,Completed,2017-12-30,Y,298,2015-03-31
Balance work of Four Laning of Nagpur - Hyderbad Section of NH-7 (NS-62) (Package-II) (Kelapur-Pimpalkhatti) Project,Substantial Expansion,2000,Completed,"Engineering, Procurement & Construction",October 2018,Hyderabad,Telangana,01 Jan 2016,Date of announcement,2018-10-25,2000,1976.9,23.1,Y,2018-10-25,Completed,2018-05-31,Y,147,2016-03-31
Sitarganj-Tanakpur via Khatima (NH-125) Two Laning Highway Project,New Unit,3687.3,Completed,"Engineering, Procurement & Construction",November 2018,Sitarganj,Uttarakhand,15 Jan 2010,Date of announcement,2017-03-31,3687.3,2264.2,1423.1,Y,2018-11-20,Completed,2017-09-18,Y,428,2014-10-09
Tanda-Raibareilly Two Lane Highway Project,Substantial Expansion,8175.2,Completed,"Engineering, Procurement & Construction",December 2018,Rae bareli,Uttar Pradesh,05 Sep 2011,Date of announcement,2014-02-06,8175.2,6920,1255.2,Y,2018-12-14,Completed,2016-01-31,Y,1048,2014-02-28
Rae Bareli-Banda Highway Widening Project,Substantial Expansion,5587.7,Completed,"Engineering, Procurement & Construction",December 2018,Banda,Uttar Pradesh,19 Apr 2010,Date of announcement,2014-02-06,5587.7,5250,337.7,Y,2018-12-16,Completed,2016-01-31,Y,1050,2014-02-28
Dahod-Padhi (NH-113) Two Laning Highway Project,New Unit,3720,Completed,"Engineering, Procurement & Construction",December 2018,Dahod,Gujarat,25 Mar 2011,Date of announcement,2017-10-31,3720,3320,400,Y,2018-12-17,Completed,2016-11-30,Y,747,2014-01-15
Phalodi-Jaisalmer (NH-15) Two/Four Lane Highway Project,New Unit,4280,Completed,"Engineering, Procurement & Construction",January 2019,Jaisalmer,Rajasthan,15 Nov 2011,Date of announcement,2017-10-31,4280,5675.1,-1395.1,N,2019-01-05,Completed,2018-03-31,Y,280,2014-10-28
Kollam Bypass NH-66 Project,New Unit,3520.5,Completed,"Engineering, Procurement & Construction",January 2019,Kollam,Kerala,01 Dec 2001,Date of announcement,2016-01-06,3520.5,2670,850.5,Y,2019-02-02,Initial completion date,2014-02-28,Y,1800,2015-02-12
Bhubaneshwar-Puri (NH-203) Four-Laning Highway Project,Substantial Expansion,6800,Completed,"Engineering, Procurement & Construction",February 2019,Bhubaneshwar,Odisha,01 Jan 2007,Date of announcement,2017-04-30,6800,5002.9,1797.1,Y,2019-02-06,Completed,2013-06-30,Y,2047,2010-05-07
Chhapra-Rewaghat-Muzaffarpur (NH-102) Two Lane Road Project,New Unit,5161.3,Completed,"Engineering, Procurement & Construction",February 2019,Chhapra,Bihar,22 Nov 2010,Date of announcement,2015-08-30,5161.3,3184,1977.3,Y,2019-02-28,Completed,2018-04-30,Y,304,2014-06-04
Barabanki-Bahraich (NH-28C) Highway Widening Project,Substantial Expansion,6960.5,Completed,"Engineering, Procurement & Construction",March 2019,Bahraich,Uttar Pradesh,21 Oct 2009,Date of announcement,2016-06-10,6960.5,6010.5,950,Y,2019-03-07,Completed,2018-12-31,Y,66,2014-04-30
Amritsar Bypass Improvement (NH-1) Project,Substantial Expansion,2300,Completed,"Engineering, Procurement & Construction",April 2019,Amritsar,Punjab,15 May 2015,Date of announcement,2017-11-21,2300,2730.6,-430.6,N,2019-05-31,Initial completion date,2017-11-30,Y,547,2015-09-04
Madurai-Paramakudi (NH-49) Four Laning Highway Project (Madurai-Ramanathapuram Highway),New Unit,13871.1,Completed,"Engineering, Procurement & Construction",March 2019,Madurai,Tamil Nadu,01 Nov 2010,Date of announcement,2015-04-07,13871.1,13871.1,0,N,2019-05-31,Initial completion date,2014-01-31,Y,1946,2015-04-17
Balance work of Four Laning of Nagpur-Hyderabad Section of NH-7 (NS-60) (Package-I) Project (Wadner-Devdhari Highway),Substantial Expansion,2440,Completed,"Engineering, Procurement & Construction",June 2019,Devdhari,Maharashtra,01 Jan 2016,Date of announcement,2016-03-31,2440,2440,0,N,2019-06-25,Completed,2018-05-31,Y,390,2016-03-31
Dharamtul-Sonapur (AS-20) Four-Laning Highway Project,Substantial Expansion,2236.8,Completed,"Engineering, Procurement & Construction",June 2019,Dharmtul,Assam,01 Dec 2003,Date of announcement,2019-06-24,2236.8,1600,636.8,Y,2019-06-30,Initial completion date,2010-12-31,Y,3103,2005-04-30
Manoharpur-Dausa (NH-11A) Two-Laning Highway Project,New Unit,2240,Completed,"Engineering, Procurement & Construction",July 2019,Dausa,Rajasthan,01 Mar 2008,Date of announcement,2018-02-28,2240,2380,-140,N,2019-07-17,Completed,2018-08-31,Y,320,2016-07-28
Brahmputra Bridge (AS-28) Project,New Unit,4537,Completed,"Engineering, Procurement & Construction",July 2019,Brhmaputra,Assam,01 Dec 2003,Date of announcement,2019-07-19,4537,2176.1,2360.9,Y,2019-07-19,Completed,2010-04-30,Y,3367,2006-05-01
Aligarh-Moradabad (NH-93) (New NH-509) Two Laning Road Project,New Unit,9500,Completed,"Engineering, Procurement & Construction",May 2019,Aligarh,Uttar Pradesh,19 Nov 2010,Date of announcement,2019-02-20,9500,6980,2520,Y,2019-07-25,Initial completion date,2019-05-13,Y,73,2016-03-17
Ghaghar Bridge (Indo Nepal Border)-Varanasi NH-233 Four Laning Road Project (Package-I),Substantial Expansion,6740,Completed,"Engineering, Procurement & Construction",March 2019,Basti,Uttar Pradesh,01 Mar 2012,Date of announcement,2017-10-31,6740,6116.5,623.5,Y,2019-07-31,Initial completion date,2018-05-31,Y,426,2015-03-31
Wadner-Devdhari (NS-60/MH) Highway Project,New Unit,2500,Completed,"Engineering, Procurement & Construction",October 2018,Devdhari,Maharashtra,01 Mar 2005,Date of announcement,2018-10-25,2500,1934.5,565.5,Y,2019-08-31,Initial completion date,2014-03-31,Y,1979,2005-04-01
Kullu-Manali (NH-3) Highway Upgradation (2-Lane with Paved Shoulders) Project,Substantial Expansion,2990,Completed,"Engineering, Procurement & Construction",September 2019,Kullu,Himachal Pradesh,01 Jan 2014,Date of announcement,2017-10-31,2990,2184.7,805.3,Y,2019-09-15,Completed,2019-02-28,Y,199,2016-02-08
Improvement of T-Junction near Dhaula Kuan Metro Station Project (Bharatmala),New Unit,2700,Completed,"Engineering, Procurement & Construction",September 2019,Dhaula Kuan,NCT of Delhi,01 May 2017,Date of announcement,2019-03-01,2700,1405.4,1294.6,Y,2019-09-22,Completed,2019-04-30,Y,145,2017-09-12
Biju Para-Kuru (NH-75) Four Laning Highway Project (Package-II),Substantial Expansion,1542.7,Completed,"Engineering, Procurement & Construction",September 2019,Biju para,Jharkhand,09 Nov 2016,Date of announcement,2016-11-09,1542.7,1542.7,0,N,2019-09-25,Completed,2018-05-31,Y,482,2017-03-31
Sonapur-Guwahati (AS-3) Four-Laning Highway Project,Substantial Expansion,4920,Completed,"Engineering, Procurement & Construction",August 2019,Guwahati,Assam,01 Dec 2003,Date of announcement,2011-12-31,4920,2450,2470,Y,2019-09-30,Initial completion date,2010-12-31,Y,3195,2005-03-01
Salasar-Nagaur (NH-65) Two Lane Highway Project,New Unit,4800,Completed,Hybrid Annuity,January 2019,Deh,Rajasthan,31 Jan 2016,Date of announcement,2019-01-27,4800,6371.8,-1571.8,N,2019-09-30,Initial completion date,2019-01-28,Y,245,2016-06-30
Uncha-Nagla-Khanuawa-Roppas-Dholpur (NH-123) Two Laning Highway Project,New Unit,2759,Completed,"Engineering, Procurement & Construction",October 2019,Dholpur,Rajasthan,15 Jul 2011,Date of announcement,2014-01-30,2759,2759,0,N,2019-10-01,Completed,2018-02-28,Y,580,2015-08-31
Mahulia-Baharagora-JH/WB Border (NH-33 & NH-6) Four Laning Highway Project,Substantial Expansion,9971.5,Completed,"Engineering, Procurement & Construction",October 2019,Baharagora,Jharkhand,15 Mar 2010,Date of announcement,2016-02-11,9971.5,10832.8,-861.3,N,2019-10-11,Completed,2018-02-28,Y,590,2011-12-15
Tonk-Sawaimadhopur (NH-116) Two-Laning Highway Project,New Unit,3203,Completed,"Engineering, Procurement & Construction",October 2019,Sawai madhopur,Rajasthan,01 Mar 2016,Date of announcement,2017-03-31,3203,3176,27,Y,2019-10-15,Completed,2019-01-31,Y,257,2016-08-19
Vijayawada-Machilipatnam (NH-65) Four-Laning Highway Project (Bharatmala),Substantial Expansion,14620,Completed,"Engineering, Procurement & Construction",November 2019,Machilipatnam,Andhra Pradesh,09 Sep 2004,Date of announcement,2017-10-31,14620,3000,11620,Y,2019-11-13,Completed,2014-08-01,Y,1930,2012-01-27
Nalagampalli Village-AP/Karnataka Border (NH-69) Four Lane Highway Project (Package-II),Substantial Expansion,11000,Completed,"Engineering, Procurement & Construction",August 2019,Andhra Pradesh,Andhra Pradesh,30 Sep 2016,Date of announcement,2019-08-03,11000,6483.2,4516.8,Y,2019-11-14,Initial completion date,2018-10-30,Y,380,2017-03-30
Kutchery Chowk Ranchi-Piska More-Biju Para (NH-75) Four Laning Highway Project (Package-I),Substantial Expansion,2396.8,Completed,"Engineering, Procurement & Construction",August 2019,Biju para,Jharkhand,09 Nov 2016,Date of announcement,2016-11-09,2396.8,2396.8,0,N,2019-11-15,Initial completion date,2018-05-31,Y,533,2017-03-31
Ambala-Kaithal (Pehowa) (NH-65) Four Laning Highway Project (Package-I),Substantial Expansion,4580,Completed,"Engineering, Procurement & Construction",December 2019,Ambala,Haryana,30 Apr 2009,Date of announcement,2018-01-31,4580,4740.9,-160.9,N,2019-12-13,Completed,2016-06-30,Y,1261,2015-03-30
Bijapur-Gulbarga-Humnabad (NH-218) Two lane Highway Project,Substantial Expansion,7090,Completed,"Engineering, Procurement & Construction",September 2019,Bijapur,Karnataka,26 Jul 2012,Date of announcement,2014-10-27,7090,6807.3,282.7,Y,2019-12-31,Initial completion date,2017-09-30,Y,822,2014-12-31
Vadodara-Surat (NH-8) Six-Laning Highway (Four-lane Bridge over Narmada River in Bharuch along with Six-Lane Approach Roads) Project (Extra Dosed Bridge),Substantial Expansion,5031.6,Completed,"Design, Build, Finance, Operate and Transfer (Toll) basis",February 2020,Surat,Gujarat,17 Oct 2009,Date of announcement,2013-12-26,5031.6,5092.9,-61.3,N,2020-02-06,Completed,2014-12-31,Y,1863,2012-05-01
Simga-Sargaon (NH-130) Four Laning Highway (Package-II of Raipur-Bilaspur) Project,Substantial Expansion,5966.7,Completed,"Engineering, Procurement & Construction",February 2020,Sargaon,Chhattisgarh,14 Oct 2009,Date of announcement,2015-12-28,5966.7,4784.3,1182.4,Y,2020-03-31,Initial completion date,2018-05-31,Y,670,2012-01-30
Liberty Cinema-Mental Hospital (NH-69) Flyover Project,New Unit,2181.1,Completed,"Engineering, Procurement & Construction",January 2020,Liberty cinema,Maharashtra,31 Jan 2015,Date of announcement,2017-02-17,2181.1,2449,-267.9,N,2020-03-31,Initial completion date,2018-08-31,Y,578,2017-01-23
Piska More-Palma (NH-23) Four Laning Highway Project,Substantial Expansion,2556.8,Completed,"Engineering, Procurement & Construction",April 2020,Palma,Jharkhand,09 Nov 2016,Date of announcement,2017-10-31,2556.8,1651,905.8,Y,2020-04-30,Initial completion date,2018-05-31,Y,700,2017-03-31
Jabalpur-Katni-Rewa (NH-7) Four Laning Highway Project,Substantial Expansion,31015.5,Completed,"Engineering, Procurement & Construction",May 2020,Jabalpur,Madhya Pradesh,01 Dec 2009,Date of announcement,2020-05-22,31015.5,19068.3,11947.2,Y,2020-05-22,Completed,2017-03-31,Y,1148,2011-07-29
Ambala-Kaithal (Pehowa) (NH-65) Four Laning Highway Project (Package-II),Substantial Expansion,5742.8,Completed,"Engineering, Procurement & Construction",June 2020,Ambala,Haryana,30 Apr 2009,Date of announcement,2016-06-30,5742.8,3798,1944.8,Y,2020-06-26,Completed,2018-07-31,Y,696,2015-03-03
Gorakhpur-Gopalganj (NH-28) Four Laning Highway Project,Substantial Expansion,5818.4,Completed,"Engineering, Procurement & Construction",June 2020,Gopalganj,Bihar,15 Mar 2003,Date of announcement,2015-05-26,5818.4,5818.4,0,N,2020-06-26,Completed,2008-12-31,Y,4195,2005-10-20
UP/Haryana Border-Panchkula (NH-73) Four-Laning Highway Project (Package-III),Substantial Expansion,2070,Completed,"Engineering, Procurement & Construction",June 2020,Barwala,Haryana,30 Apr 2009,Date of announcement,2017-10-31,2070,3010,-940,N,2020-06-30,Completed,2014-09-30,Y,2100,2012-03-26
Punjab/Haryana Border-Jind (NH-71) Four Lane Road Project,Substantial Expansion,8570,Completed,"Engineering, Procurement & Construction",July 2020,Jind,Haryana,07 Dec 2010,Date of announcement,2020-07-13,8570,4387.5,4182.5,Y,2020-07-31,Initial completion date,2014-10-30,Y,2101,2012-04-03
Bhavnagar-Talaja (NH-8E) (Package-I Bhavnagar-Veraval Section) Four/Six Lane Highway Project,Substantial Expansion,9981.8,Completed,Hybrid Annuity,August 2020,Bhavnagar,Gujarat,03 May 2012,Date of announcement,2016-05-26,9981.8,8411.8,1570,Y,2020-08-11,Completed,2015-09-30,Y,1777,2016-05-26
Kagavadar-Una (NH-8E) (Package-IV Bhavnagar-Veraval Section) Four Lane Highway Project,Substantial Expansion,7236.4,Completed,Hybrid Annuity,August 2020,Kagvadar,Gujarat,03 May 2012,Date of announcement,2016-05-26,7236.4,7190,46.4,Y,2020-08-11,Completed,2018-12-31,Y,589,2016-05-26
Bhopal-Sanchi (NH-86 Extn.) (New NH-146) Highway Project,New Unit,3045.8,Completed,"Engineering, Procurement & Construction",August 2020,Bhopal,Madhya Pradesh,30 Apr 2009,Date of announcement,2020-08-25,3045.8,2090,955.8,Y,2020-08-25,Completed,2013-06-30,Y,2613,2010-05-30
Jabalpur-Lakhnadon Four Lane Highway (NH-30 and NH-34) Project,Substantial Expansion,12444.3,Completed,"Engineering, Procurement & Construction",August 2020,Jabalpur,Madhya Pradesh,01 Jan 2005,Date of announcement,2020-08-25,12444.3,9197.6,3246.7,Y,2020-08-25,Completed,2017-09-30,Y,1060,2011-07-20
Lalghati to Bhopal Bypass (Mubarakpur) (NH-12) Four-Laning Road Project (Package-I) (Bhopal-Biaora Section),Substantial Expansion,2210,Completed,"Engineering, Procurement & Construction",August 2020,Bhopal bypass,Madhya Pradesh,12 Aug 2010,Date of announcement,2019-09-11,2210,2434.7,-224.7,N,2020-08-25,Completed,2019-10-31,Y,299,2012-01-10
Sanchi-Sagar NH-86 (Extn) (New NH-146) Widening Highway Project,Renovation & Modernisation,2873.4,Completed,"Engineering, Procurement & Construction",August 2020,Sagar,Madhya Pradesh,19 May 2010,Date of announcement,2020-08-23,2873.4,1250,1623.4,Y,2020-08-25,Completed,2012-05-31,Y,3008,2011-01-05
Kharar-Ludhiana (NH-5) Four/Six Laning Highway Project (Part of Chandigarh-Ludhiana Highway),Substantial Expansion,16000,Completed,Hybrid Annuity,June 2020,Kharar,Punjab,01 Sep 2005,Date of announcement,2016-08-10,16000,14726.1,1273.9,Y,2020-08-31,Initial completion date,2018-09-30,Y,701,2016-08-10
Morena (NH-44) Four Lane Flyover/Grade Separator Project (K.S.Choraha-New Housing Board Colony),Substantial Expansion,1080,Completed,"Engineering, Procurement & Construction",September 2020,K.s.choraha,Madhya Pradesh,29 May 2017,Date of announcement,2020-09-28,1080,909.6,170.4,Y,2020-09-28,Completed,2019-09-30,Y,364,2018-01-16
Gopalganj-Chhapra Two-Laning Highway Project,New Unit,11920,Completed,"Engineering, Procurement & Construction",December 2020,Chhapra,Bihar,21 Nov 2008,Date of announcement,2020-12-20,11920,3250,8670,Y,2020-12-20,Completed,2014-05-29,Y,2397,2010-05-31
Oddanchathram (NH-83) Four Lane Bypass Project,Substantial Expansion,2492.7,Completed,"Engineering, Procurement & Construction",December 2020,Oddanchathram,Tamil Nadu,18 May 2017,Date of announcement,2017-09-29,2492.7,2037.8,454.9,Y,2020-12-20,Completed,2019-11-30,Y,386,2017-09-29
